Designator,Mid X,Mid Y,Rotation,Layer
D1,8.543067,-9.647225,0.0,top
D2,3.129967,-10.934725,90.0,top
D3,15.129967,-10.147225,90.0,top
J1,9.019067,-1.397225,180.0,top
J2,9.019067,-29.337225,180.0,top
J4,11.559067,-29.337225,180.0,top
JP1,6.857967,-28.029025,180.0,bottom
Q1,4.879967,-8.781725,0.0,top
Q2,12.293067,-8.797225,180.0,top
R1,15.129967,-7.657225,270.0,top
R2,3.129967,-2.647225,90.0,top
R3,15.129967,-2.647225,90.0,top
R4,4.379967,-11.647225,90.0,top
R5,6.379967,-14.647225,180.0,top
R6,3.879967,-14.647225,0.0,top
R7,3.879967,-13.397225,0.0,top
R8,8.629967,-14.647225,180.0,top
R9,8.543067,-7.897225,180.0,top
U1,9.017467,-15.367225,270.0,top
U2,7.629967,-12.397225,0.0,top
U3,11.879967,-13.397225,180.0,top
X1,14.879967,-13.397225,90.0,top
